                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4727,                 2.6899,                 1.4268,                0.68479,                0.54981,                0.61393,                0.38023,                 1.3619,                 1.3449,                 1.3167,              0.0032971,              0.0032971,              0.0032971
                      2,                 1.3198,                 1.3419,                 1.3223,                0.65934,                0.49421,                0.54779,                0.33677,                 1.4693,                 1.5224,                  1.402,              0.0066086,              0.0066086,              0.0066086
                      3,                 1.4034,                 1.4807,                 1.3805,                0.34845,                0.30047,                0.24782,                0.12865,                  1.909,                 2.6324,                 1.8352,               0.009898,               0.009898,               0.009898
                      4,                 1.5331,                 1.7424,                 1.4939,                 0.3844,                0.20771,                0.19921,                0.10624,                 1.9012,                 2.8861,                  1.902,               0.009901,               0.009901,               0.009901
                      5,                 1.5276,                 1.7131,                 1.4883,                0.47019,                0.35399,                0.35664,                0.19611,                 1.7082,                 2.0842,                 1.6617,               0.009868,               0.009868,               0.009868
                      6,                 1.5003,                 1.6337,                 1.4751,                0.48404,                0.36874,                0.37289,                0.20381,                 1.7301,                 2.1772,                 1.6442,               0.009835,               0.009835,               0.009835
                      7,                 1.4768,                 1.5843,                 1.4565,                0.54809,                 0.3723,                0.39534,                0.22131,                 1.6581,                 2.0008,                 1.5902,               0.009802,               0.009802,               0.009802
                      8,                 1.4515,                 1.5227,                 1.4436,                0.58002,                0.41455,                 0.4615,                0.26501,                 1.5988,                 1.8077,                  1.555,               0.009769,               0.009769,               0.009769
                      9,                 1.4335,                 1.4709,                 1.4267,                0.58602,                0.42518,                0.46005,                0.27121,                 1.6046,                 1.7717,                 1.5602,               0.009736,               0.009736,               0.009736
                     10,                 1.4255,                 1.4493,                 1.4222,                 0.5912,                0.35436,                0.40138,                0.23089,                 1.6747,                  1.959,                 1.6035,               0.009703,               0.009703,               0.009703
                     11,                 1.3999,                 1.4011,                 1.4045,                 0.6016,                0.46653,                0.48013,                0.27558,                 1.5749,                 1.7074,                 1.5342,                0.00967,                0.00967,                0.00967
                     12,                 1.3867,                 1.3739,                 1.3967,                0.61861,                0.48832,                 0.5261,                 0.3098,                  1.558,                  1.569,                 1.4989,               0.009637,               0.009637,               0.009637
                     13,                 1.3719,                 1.3497,                 1.3883,                0.57875,                0.47022,                0.50217,                0.30489,                 1.5411,                 1.6242,                 1.4895,               0.009604,               0.009604,               0.009604
                     14,                 1.3647,                 1.3218,                 1.3794,                0.64009,                0.47383,                0.52987,                0.31149,                  1.562,                 1.5518,                 1.5114,               0.009571,               0.009571,               0.009571
                     15,                 1.3569,                 1.2882,                  1.367,                0.61471,                0.51053,                0.53775,                0.31793,                 1.5148,                 1.5062,                 1.4759,               0.009538,               0.009538,               0.009538
                     16,                 1.3482,                  1.266,                 1.3613,                0.66014,                 0.4575,                0.51866,                0.30484,                 1.5727,                 1.5852,                 1.5425,               0.009505,               0.009505,               0.009505
                     17,                 1.3351,                 1.2602,                 1.3567,                0.61483,                0.51089,                0.55011,                0.32061,                 1.5208,                 1.4622,                 1.4746,               0.009472,               0.009472,               0.009472
                     18,                 1.3215,                 1.2215,                 1.3409,                0.64326,                0.46813,                0.52435,                0.31421,                  1.559,                 1.5573,                 1.4988,               0.009439,               0.009439,               0.009439
                     19,                  1.315,                 1.2079,                 1.3372,                 0.6338,                0.51634,                0.55067,                0.33137,                 1.5444,                 1.4827,                 1.4891,               0.009406,               0.009406,               0.009406
                     20,                 1.3047,                 1.1903,                 1.3257,                0.69473,                0.47266,                0.54383,                0.32584,                 1.5378,                 1.4684,                 1.4846,               0.009373,               0.009373,               0.009373
