                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.439,                 2.5968,                 1.3923,                0.60819,                 0.4916,                0.53049,                0.31949,                 1.4283,                 1.6846,                  1.413,             0.00020607,             0.00020607,             0.00020607
                      2,                  1.374,                 1.5099,                 1.3695,                0.59627,                0.41527,                0.46382,                0.26205,                 1.5946,                  1.794,                 1.5019,             0.00039389,             0.00039389,             0.00039389
                      3,                  1.443,                 1.5852,                 1.4286,                0.43374,                0.28967,                0.28023,                0.15117,                 1.8057,                 2.3805,                 1.7212,             0.00056108,             0.00056108,             0.00056108
                      4,                 1.4496,                 1.5996,                 1.4482,                0.50734,                0.42081,                 0.4301,                0.23824,                 1.7197,                 1.9833,                 1.6484,             0.00053219,             0.00053219,             0.00053219
                      5,                 1.4216,                  1.499,                 1.4262,                0.61136,                0.43409,                0.47337,                0.27614,                 1.5996,                 1.7436,                 1.5205,             0.00050125,             0.00050125,             0.00050125
                      6,                 1.3854,                 1.4019,                 1.3993,                0.59336,                0.43137,                0.47494,                0.28077,                 1.5266,                 1.6742,                 1.4964,             0.00047031,             0.00047031,             0.00047031
                      7,                 1.3583,                 1.3442,                 1.3809,                0.60113,                0.48887,                0.51914,                0.30849,                 1.5374,                 1.5244,                 1.4676,             0.00043937,             0.00043937,             0.00043937
                      8,                 1.3211,                 1.2678,                 1.3596,                0.67513,                0.50001,                0.57164,                0.35468,                 1.4707,                 1.4492,                 1.4503,             0.00040844,             0.00040844,             0.00040844
                      9,                 1.3005,                 1.2169,                 1.3358,                0.71864,                0.50948,                0.57665,                0.35324,                 1.4798,                 1.4379,                 1.4661,              0.0003775,              0.0003775,              0.0003775
                     10,                 1.2868,                 1.1742,                 1.3285,                0.65726,                 0.5514,                0.60529,                0.37145,                  1.434,                 1.3213,                 1.4217,             0.00034656,             0.00034656,             0.00034656
                     11,                 1.2731,                 1.0643,                 1.3315,                0.65567,                0.53436,                0.58644,                0.35267,                 1.4723,                 1.3605,                 1.4578,             0.00031562,             0.00031562,             0.00031562
                     12,                  1.241,                0.99185,                  1.306,                0.65851,                0.53953,                0.59514,                0.36356,                 1.4643,                 1.3513,                 1.4416,             0.00028469,             0.00028469,             0.00028469
                     13,                 1.2112,                0.93895,                 1.2843,                0.68974,                0.53304,                0.60058,                0.37578,                 1.4569,                 1.3786,                  1.431,             0.00025375,             0.00025375,             0.00025375
                     14,                 1.1837,                0.89396,                  1.261,                0.70006,                  0.574,                0.62834,                0.39643,                 1.4294,                 1.2681,                 1.4096,             0.00022281,             0.00022281,             0.00022281
                     15,                  1.161,                0.83977,                 1.2444,                0.71104,                0.56742,                0.63501,                0.39959,                 1.4317,                 1.2488,                 1.4225,             0.00019188,             0.00019188,             0.00019188
                     16,                 1.1344,                0.80223,                  1.228,                0.72806,                0.55258,                0.64174,                0.40773,                 1.3954,                 1.2359,                 1.4015,             0.00016094,             0.00016094,             0.00016094
                     17,                 1.1052,                0.75513,                 1.2058,                0.73986,                0.56286,                0.65017,                0.41243,                 1.4108,                 1.2184,                 1.4035,                0.00013,                0.00013,                0.00013
                     18,                 1.0768,                0.71336,                 1.1854,                0.72715,                0.58292,                0.65458,                0.41634,                 1.3991,                 1.1972,                 1.4034,             9.9063e-05,             9.9063e-05,             9.9063e-05
                     19,                  1.051,                0.67995,                 1.1646,                0.74425,                0.55958,                0.65642,                0.41788,                 1.3915,                 1.1885,                 1.3938,             6.8125e-05,             6.8125e-05,             6.8125e-05
                     20,                 1.0266,                0.65155,                 1.1534,                0.72843,                0.58528,                0.66377,                0.42341,                 1.3927,                 1.1993,                 1.3908,             3.7188e-05,             3.7188e-05,             3.7188e-05
